=========================================================================================================
TONG HOP CHI TIET DON DAT SACH GIAO KHOA THPT (TU FILE SGKTHPT.xlsx)
=========================================================================================================
[Lá»›p 12] STT 41 | Ma: G1BHZY001  | Ten: Bài tập Giáo dục kinh tế và pháp luật 12 (KNTT)         | Gia:   14,000 Ä‘ | SL:  1 | ThanhTien:     14,000 Ä‘ | Ghi chu: Khối D (1 HS)
[Lá»›p 12] STT 43 | Ma: G1HHZI006  | Ten: Tin học 12 - Định hướng Tin học ứng dụng (KNTT)         | Gia:   19,500 Ä‘ | SL:  1 | ThanhTien:     19,500 Ä‘ | Ghi chu: Khối D (1 HS)
[Lá»›p 12] STT 45 | Ma: G1HHZI008  | Ten: Chuyên đề học tập Tin học 12  
Định hướng Tin học ứng dụng (KNTT) | Gia:   16,800 Ä‘ | SL:  1 | ThanhTien:     16,800 Ä‘ | Ghi chu: Khối D (1 HS)
[Lá»›p 12] STT 46 | Ma: G1BHZI002  | Ten: Bài tập Tin học 12 
 Định hướng Tin học ứng dụng (KNTT) | Gia:   19,000 Ä‘ | SL:  1 | ThanhTien:     19,000 Ä‘ | Ghi chu: Khối D (1 HS)
=========================================================================================================
TONG SO LUONG SACH DAT: 308 quyen
TONG THANH TIEN:        5,314,000 VNÄ
=========================================================================================================
